t,name,resid
16.25,Transient 2,-0.7143952821369504
16.25,Transient 3,-0.3778286129110218
16.25,Transient 4,-1.1134385882555826
16.25,Transient 5,-0.4485521586202196
16.5,Transient 1,-0.6736806771590276
16.5,Transient 2,-0.544231179719593
16.5,Transient 3,-0.8885193120275395
16.5,Transient 4,-0.2318251837643728
16.5,Transient 5,-1.7390298201845071
16.75,Transient 1,1.2080625049276388
16.75,Transient 2,0.9003834670493318
16.75,Transient 3,0.16761424991703247
16.75,Transient 4,-0.38530416049112726
16.75,Transient 5,1.5789211674899286
17,Transient 1,-0.3208681348436057
17,Transient 2,-0.36383811551982514
17,Transient 3,-1.239451368742135
17,Transient 4,0.5368889901704385
17,Transient 5,1.6794476855046043
17.25,Transient 1,-1.0930156381696965
17.25,Transient 2,-1.5507708903436466
17.25,Transient 3,-0.3618203998267663
17.25,Transient 4,-0.2935021027684665
17.25,Transient 5,0.40515202530378996
17.5,Transient 1,0.29799966505506814
17.5,Transient 2,-0.6696291101026566
17.5,Transient 3,-0.09314078644656183
17.5,Transient 4,-2.554486263353631
17.5,Transient 5,1.0062614770794447
17.75,Transient 1,0.019245458386197057
17.75,Transient 2,-1.2391346259669362
17.75,Transient 3,-1.7313771023020847
17.75,Transient 4,0.8378491445016321
17.75,Transient 5,-0.542439132530198
18,Transient 1,0.36954193503894145
18,Transient 2,0.7151191667509698
18,Transient 3,-0.09800198780331243
18,Transient 4,1.8886753746329596
18,Transient 5,-0.1463373022248237
18.25,Transient 1,-0.1855338042077187
18.25,Transient 2,-1.355892688590305
18.25,Transient 3,0.2998956724109914
18.25,Transient 4,-0.9672213852557388
18.25,Transient 5,1.1085172145225313
18.5,Transient 1,-1.0502197568441665
18.5,Transient 2,-0.8130104815247647
18.5,Transient 3,-0.42068969765444986
18.5,Transient 4,-1.7204319500331167
18.5,Transient 5,-1.609870996726419
18.75,Transient 1,0.09565434011751538
18.75,Transient 2,1.279264302320361
18.75,Transient 3,-0.8874873801933388
18.75,Transient 4,1.6956809264521246
18.75,Transient 5,-0.0195387172911371
19,Transient 1,-0.35220096505216236
19,Transient 2,-1.0864164858629912
19,Transient 3,0.3207464183756528
19,Transient 4,0.45771161940347277
19,Transient 5,-1.434985988853603
19.25,Transient 1,-1.8684190711849138
19.25,Transient 2,-0.6203356966502853
