x1,x2,x3,x4,x5,x6
89.10510818077071,2,6,17674,3341,10717
89.36115734220971,2,10,17872,3427,10856
89.6172065036487,1,5,17430,3511,10562
89.8732556650877,0,7,17305,3483,10597
90.12930482652669,1,4,17200,3371,10485
90.38535398796569,2,8,17637,3401,10515
90.64140314940468,1,0,17148,3498,10467
90.89745231084368,0,3,17369,3468,10542
91.1535014722827,1,6,17033,3353,10401
91.4095506337217,0,2,16889,3320,10591
91.66559979516069,0,4,16894,3443,10286
91.92164895659968,2,4,16868,3296,10382
92.17769811803868,3,5,16736,3381,10509
92.43374727947767,1,3,16946,3491,10325
92.68979644091667,3,6,16746,3280,10311
92.94584560235566,0,3,16495,3252,10339
93.20189476379466,1,5,16432,3323,10218
93.45794392523365,2,12,16433,3242,10330
93.71399308667264,1,2,16318,3313,10337
93.97004224811164,0,11,16340,3396,10222
94.22609140955063,1,2,16183,3423,10315
94.48214057098963,1,3,16154,3367,10271
94.73818973242862,1,4,16127,3352,9945
94.99423889386762,1,10,15795,3163,10131
95.25028805530661,5,3,15707,3227,10076
95.50633721674564,0,10,15873,3329,9992
95.76238637818463,1,2,15666,3217,10029
96.01843553962362,3,6,15665,3225,9982
96.27448470106262,0,4,15785,3198,9857
96.53053386250161,1,10,15552,3259,9984
96.78658302394061,1,7,15554,3172,9965
97.0426321853796,2,2,15613,3208,10041
97.2986813468186,0,7,15335,3221,9780
97.55473050825759,0,5,15329,3211,9742
97.81077966969659,0,6,15048,3234,9855
98.06682883113558,3,4,15295,3255,9830
98.32287799257458,3,2,15297,3197,9762
98.57892715401357,1,7,15080,3118,9603
98.83497631545256,0,4,14981,3260,9804
99.09102547689156,2,7,14736,3212,9584
99.34707463833055,1,5,14941,3265,9907
99.60312379976958,0,11,14702,3206,9630
99.85917296120857,0,3,14600,3188,9870
100.11522212264757,3,5,14742,3122,9593
100.37127128408656,3,6,14496,3153,9543
100.62732044552556,3,4,14533,3202,9699
100.88336960696455,0,9,14474,3049,9506
101.13941876840354,0,5,14376,3116,9473
101.39546792984254,1,6,14443,3027,9550
101.65151709128153,4,6,14293,3093,9369
101.90756625272053,1,7,14222,3083,9647
102.16361541415952,0,5,14057,3148,9543
102.41966457559852,0,5,14336,3107,9464
102.67571373703751,1,9,13853,3121,9573
102.9317628984765,1,5,13768,3065,9396
103.1878120599155,4,4,13936,3085,9462
103.4438612213545,1,5,13829,2969,9440
103.69991038279349,1,7,13720,3008,9496
103.95595954423251,1,5,13560,2934,9299
104.21200870567151,0,1,13698,3099,9299
104.4680578671105,2,3,13670,3100,9200
104.7241070285495,0,6,13528,3072,9295
104.98015618998849,1,5,13299,3055,9277
105.23620535142749,0,6,13625,2930,9111
105.49225451286648,1,4,13239,3039,9325
105.74830367430548,0,4,13411,2936,9198
106.00435283574447,0,11,13476,2973,9129
106.26040199718346,1,10,13121,3018,9060
106.51645115862246,0,8,13147,2998,9338
106.77250032006145,0,5,13057,2943,9029
107.02854948150045,2,6,13034,2959,8966
107.28459864293944,1,3,13069,2941,9058
107.54064780437844,1,6,12782,2938,9130
107.79669696581743,1,3,12908,2926,8931
108.05274612725643,2,8,12753,2912,9076
108.30879528869545,1,7,12675,3002,8930
108.56484445013444,1,3,12709,2839,8936
108.82089361157344,1,3,12469,2872,9008
